Scenario_ID,Optimized_Yield_tons,LCOA_Offgrid_RMB,Daily_Curtailment_MWh,Daily_Deficit_MWh
1,47.7025856617356,3721.97248994787,0,0
2,29.247106649077,3860.22660951526,0,0
3,17.3878038268294,4271.11112132887,0,0
4,12.7060307443452,4693.29335455187,0,0
5,40.6982860435107,3687.2985550122,0,0
6,21.2795538867829,4008.64500848961,0,0
7,9.21508369806024,5117.57037885006,0,0
8,3.67929310504831,8508.66240387596,0,0
9,49.0970107468438,3711.52803166106,0,0
10,31.2839747349788,3808.82801553667,0,0
11,19.3137099348467,4117.18301556851,0,0
12,14.6308769975632,4441.49142660623,0,0
13,55.7887639242734,3764.47120596149,0,0
14,38.3640120429122,3793.06333778383,0,0
15,25.9555832204476,3986.23852033664,0,0
16,21.4506970019548,4162.40959652652,0,0
17,51.4894960879069,3742.76720501993,0,0
18,34.4021204049773,3795.54665972292,0,0
19,22.0613872673983,4044.03359946572,0,0
20,17.4933036435246,4279.59841932781,0,0
21,45.0061910542333,3675.01187376545,0,0
22,26.1007008951765,3843.32416318109,0,0
23,14.4588240398527,4352.85279253941,0,0
24,9.06119194824817,5201.48268566498,0,0
